name,slottime_GMT,slottype,slotavg,pointTitle
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 09:00:00,H,119322.9,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 10:00:00,H,124642.95,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 11:00:00,H,133114.65,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 12:00:00,H,135812.45,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 13:00:00,H,129789.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 14:00:00,H,119888.9,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 15:00:00,H,111323.625,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 16:00:00,H,105583.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 17:00:00,H,99889.5825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 18:00:00,H,98382.0825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 19:00:00,H,95357.1075,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 20:00:00,H,92529.8975,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 21:00:00,H,93012.5525,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 22:00:00,H,97429.0325,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-05 23:00:00,H,98387.685,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 00:00:00,H,98359.5125,Total Steam Export
